app,compose_path,compose_sha256,parse_status,main_service,main_service_exists,main_image,image_tag,metadata_version,version_matches_image_tag,updateAt,updateAt_format_ok,releaseNotes_present,releaseNotes_locales,website,repo,support,docs,blank_link_fields,nonempty_link_count,link_check_status,field_comparison,issues_found,action_record,audit_conclusion
2FAuth,Apps/2FAuth/docker-compose.yml,fdbb8d3e3b2b4e6091a4738e1672501efb75a4807c558bec504789fa282cc0dc,ok,2fauth,yes,2fauth/2fauth:5.4.3,5.4.3,5.4.3,yes,2024-11-27,yes,yes,en_US,https://2fauth.app,https://github.com/Bubka/2FAuth,https://github.com/Bubka/2FAuth/issues,https://docs.2fauth.app,,4,ok:4,"main,version,updateAt,releaseNotes,website,repo,support,docs,main_image_tag,nonempty_links",,,ok
ActualBudget,Apps/ActualBudget/docker-compose.yml,66263e91d2b0775a3efa441b24f680716cfa610eab7065556709fab9513d88b2,ok,actualbudget,yes,actualbudget/actual-server:26.5.2,26.5.2,26.5.2,yes,2026-05-08,yes,yes,en_US,https://actualbudget.org,https://github.com/actualbudget/actual,https://github.com/actualbudget/actual/issues,https://actualbudget.org/docs,,4,ok:4,"main,version,updateAt,releaseNotes,website,repo,support,docs,main_image_tag,nonempty_links",,fixed_current_run: image/version/updateAt/releaseNotes 25.7.1 -> 26.5.2,ok
AdGuardHome,Apps/AdGuardHome/docker-compose.yml,f79415108cfe53591dd3c5bc731845112f471a7671f93cbf2de5de53363392fe,ok,adguard-home,yes,adguard/adguardhome:v0.107.61,v0.107.61,v0.107.61,yes,2025-04-22,yes,yes,en_US,https://adguard.com/en/adguard-home/overview.html,https://github.com/AdguardTeam/AdGuardHome,https://github.com/AdguardTeam/AdGuardHome/issues,https://github.com/AdguardTeam/AdGuardHome/wiki,,4,ok:4,"main,version,updateAt,releaseNotes,website,repo,support,docs,main_image_tag,nonempty_links",,,ok
Adminer,Apps/Adminer/docker-compose.yml,66b5f686fcb98ecd7692c601b54b2741fab08b09935aa7938d1eaea9f3e37eb6,ok,adminer,yes,adminer:5.4.1,5.4.1,5.4.1,yes,2025-09-26,yes,yes,en_US,https://www.adminer.org,https://github.com/vrana/adminer,https://github.com/vrana/adminer/issues,https://www.adminer.org/en/,,4,ok:4,"main,version,updateAt,releaseNotes,website,repo,support,docs,main_image_tag,nonempty_links",,,ok
AlbyHub,Apps/AlbyHub/docker-compose.yml,c7f4d0e431db9a7a81820c1c73ff20a4d81111e763408351990b0d0ff251074f,ok,albyhub,yes,ghcr.io/getalby/hub:v1.20.0,v1.20.0,v1.20.0,yes,2025-09-25,yes,yes,en_US,https://albyhub.com/,https://github.com/getAlby/hub,https://support.getalby.com/,https://guides.getalby.com/user-guide/alby-hub,,4,ok:4,"main,version,updateAt,releaseNotes,website,repo,support,docs,main_image_tag,nonempty_links",,,ok
Alist,Apps/Alist/docker-compose.yml,333d6ad8146d3318c69a20a345ba0eda6d1b8f579237050b19c784d10df1de8e,ok,alist,yes,xhofe/alist:v3.40.0,v3.40.0,v3.40.0,yes,2024-11-22,yes,yes,en_US,https://alistgo.com/,https://github.com/AlistGo/alist,https://github.com/AlistGo/alist/issues,https://alistgo.com/guide/,,4,ok:4,"main,version,updateAt,releaseNotes,website,repo,support,docs,main_image_tag,nonempty_links",,,ok
Alist-Sync,Apps/Alist-Sync/docker-compose.yml,3ef813236bac374f40d9be7e3a5421fdf4c069a8953269889ab77332872d5e31,ok,alist-sync,yes,xjxjin/alist-sync:1.1.5,1.1.5,1.1.5,yes,2025-03-15,yes,yes,en_US,,https://github.com/xjxjin/alist-sync,https://github.com/xjxjin/alist-sync/issues,https://github.com/xjxjin/alist-sync#readme,website,3,ok:3,"main,version,updateAt,releaseNotes,website,repo,support,docs,main_image_tag,nonempty_links",,blank fields kept as empty strings because official source is uncertain,ok_with_intentional_blank_fields
Anaconda3,Apps/Anaconda3/docker-compose.yml,cb6be6df430357d7df9c06935d3cf6ba237cc2fd306862b2ef95078a5bf86b02,ok,anaconda3,yes,continuumio/anaconda3:2024.10-1,2024.10-1,2024.10-1,yes,2024-10-31,yes,yes,en_US,https://www.anaconda.com,https://github.com/anaconda/docker-images,https://github.com/anaconda/docker-images/issues,https://docs.anaconda.com/anaconda/,,4,ok:4,"main,version,updateAt,releaseNotes,website,repo,support,docs,main_image_tag,nonempty_links",,,ok
AnythingLLM,Apps/AnythingLLM/docker-compose.yml,f474951cb521d5aafe77eac5489eec02772cf12cee5f8aa5f7fbe0f615460e77,ok,anythingllm,yes,mintplexlabs/anythingllm,,latest,n/a,2024-08-19,yes,yes,en_US,https://anythingllm.com,https://github.com/Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm/issues,https://docs.anythingllm.com,,4,ok:4,"main,version,updateAt,releaseNotes,website,repo,support,docs,main_image_tag,nonempty_links",,,ok
ArchiveBox,Apps/ArchiveBox/docker-compose.yml,c1a31dcfa31c118388e79f7a772d18dbfebc3b1db528f8d5de04be15c3dce9f9,ok,archivebox,yes,archivebox/archivebox:0.7.3,0.7.3,0.7.3,yes,2024-12-15,yes,yes,en_US,https://archivebox.io,https://github.com/ArchiveBox/ArchiveBox,https://github.com/ArchiveBox/ArchiveBox/issues,https://github.com/ArchiveBox/ArchiveBox/wiki,,4,ok:4,"main,version,updateAt,releaseNotes,website,repo,support,docs,main_image_tag,nonempty_links",,,ok
