app,action,source_status,version,image_tag,image,repo,matched_tag,source_url,checked
2FAuth,keep,verified_github_release,5.4.3,5.4.3,2fauth/2fauth:5.4.3,https://github.com/Bubka/2FAuth,v5.4.3,https://github.com/Bubka/2FAuth/releases/tag/v5.4.3,5.4.3=404; v5.4.3=200
ActualBudget,keep,verified_github_release,25.7.1,25.7.1,actualbudget/actual-server:25.7.1,https://github.com/actualbudget/actual,v25.7.1,https://github.com/actualbudget/actual/releases/tag/v25.7.1,25.7.1=404; v25.7.1=200
AdGuardHome,keep,verified_github_release,v0.107.61,v0.107.61,adguard/adguardhome:v0.107.61,https://github.com/AdguardTeam/AdGuardHome,v0.107.61,https://github.com/AdguardTeam/AdGuardHome/releases/tag/v0.107.61,v0.107.61=200; 0.107.61=404
Adminer,keep,verified_github_release,5.4.1,5.4.1,adminer:5.4.1,https://github.com/vrana/adminer,v5.4.1,https://github.com/vrana/adminer/releases/tag/v5.4.1,5.4.1=404; v5.4.1=200
AlbyHub,keep,verified_github_release,v1.20.0,v1.20.0,ghcr.io/getalby/hub:v1.20.0,https://github.com/getAlby/hub,v1.20.0,https://github.com/getAlby/hub/releases/tag/v1.20.0,v1.20.0=200; 1.20.0=404
Alist,keep,verified_github_release,v3.40.0,v3.40.0,xhofe/alist:v3.40.0,https://github.com/AlistGo/alist,v3.40.0,https://github.com/AlistGo/alist/releases/tag/v3.40.0,v3.40.0=200; 3.40.0=404
Alist-Sync,keep,verified_github_release,1.1.5,1.1.5,xjxjin/alist-sync:1.1.5,https://github.com/xjxjin/alist-sync,v1.1.5,https://github.com/xjxjin/alist-sync/releases/tag/v1.1.5,1.1.5=404; v1.1.5=200
Anaconda3,keep,verified_official_docs_manual,2024.10-1,2024.10-1,continuumio/anaconda3:2024.10-1,https://github.com/anaconda/docker-images,2024.10-1,https://www.anaconda.com/docs/getting-started/anaconda/release/2024,manual_web_verified:200:https://www.anaconda.com/docs/getting-started/anaconda/release/2024
AnythingLLM,blank,no_release_for_candidates,latest,latest,mintplexlabs/anythingllm,https://github.com/Mintplex-Labs/anything-llm,,,latest=404
ArchiveBox,keep,verified_github_release,0.7.3,0.7.3,archivebox/archivebox:0.7.3,https://github.com/ArchiveBox/ArchiveBox,v0.7.3,https://github.com/ArchiveBox/ArchiveBox/releases/tag/v0.7.3,0.7.3=404; v0.7.3=200
