app,file,category,field,current,expected,severity,status,detail
2FAuth,Apps/2FAuth/appfile.json,appfile_image_tag_mismatch,container.image,2fauth/2fauth:latest,2fauth/2fauth:5.4.3,medium,needs_fix,legacy appfile image tag differs from compose main image
AdGuardHome,Apps/AdGuardHome/appfile.json,appfile_image_tag_mismatch,container.image,adguard/adguardhome:v0.107.5,adguard/adguardhome:v0.107.61,medium,needs_fix,legacy appfile image tag differs from compose main image
Bazarr,Apps/Bazarr/appfile.json,appfile_image_tag_mismatch,container.image,linuxserver/bazarr:latest,linuxserver/bazarr:1.5.6,medium,needs_fix,legacy appfile image tag differs from compose main image
Calibre-web,Apps/Calibre-web/appfile.json,appfile_image_tag_mismatch,container.image,linuxserver/calibre-web:nightly-version-c0675497,linuxserver/calibre-web:0.6.24,medium,needs_fix,legacy appfile image tag differs from compose main image
CopyParty,Apps/CopyParty/docker-compose.yml,service_metadata_volume_gap,services.<main>.x-casaos.volumes,/w,"/w,/cfg",low,needs_review,some mounted target paths are not represented in service-level CasaOS volume metadata
Crafty,Apps/Crafty/appfile.json,appfile_image_repository_mismatch,container.image,arcadiatechnology/crafty-4,registry.gitlab.com/crafty-controller/crafty-4:4.4.11,medium,needs_review,legacy appfile image repository differs from compose main image
Crafty,Apps/Crafty/docker-compose.yml,service_metadata_port_gap,services.<main>.x-casaos.ports,"19132,25565,25566,25567,25568,25569,25570,25565,25566,25567,25568,25569,25570","8443,8123,19132,25500-25600",low,needs_review,some exposed container ports are not represented in service-level CasaOS port metadata
Deluge,Apps/Deluge/appfile.json,appfile_image_tag_mismatch,container.image,linuxserver/deluge:latest,linuxserver/deluge:2.2.0,medium,needs_fix,legacy appfile image tag differs from compose main image
Duplicati,Apps/Duplicati/appfile.json,appfile_image_tag_mismatch,container.image,linuxserver/duplicati:latest,linuxserver/duplicati:2.1.0,medium,needs_fix,legacy appfile image tag differs from compose main image
Emby_Nvidia,Apps/Emby_Nvidia/docker-compose.yml,service_metadata_env_gap,services.<main>.x-casaos.envs,"PUID,PGID,TZ","PGID,PUID,TZ,CPU_FALLBACK,NVIDIA_VISIBLE_DEVICES",low,needs_review,some environment variables are not represented in service-level CasaOS env metadata
Embystat,Apps/Embystat/appfile.json,appfile_image_tag_mismatch,container.image,linuxserver/embystat:latest,linuxserver/embystat:0.2.0,medium,needs_fix,legacy appfile image tag differs from compose main image
EmulatorJS,Apps/EmulatorJS/docker-compose.yml,service_metadata_port_gap,services.<main>.x-casaos.ports,"80,3000","3000,4001,80",low,needs_review,some exposed container ports are not represented in service-level CasaOS port metadata
Excalidraw,Apps/Excalidraw/docker-compose.yml,asset_missing,screenshot_link,https://cdn.jsdelivr.net/gh/IceWhaleTech/CasaOS-AppStore@main/Apps/Excalidraw/screenshot-3.png,Apps/Excalidraw/screenshot-3.png,medium,needs_fix,CasaOS-AppStore CDN asset path does not exist locally
Gitea,Apps/Gitea/appfile.json,appfile_image_tag_mismatch,container.image,gitea/gitea:1,gitea/gitea:1.25,medium,needs_fix,legacy appfile image tag differs from compose main image
Grafana,Apps/Grafana/appfile.json,appfile_image_tag_mismatch,container.image,grafana/grafana:8.4.5,grafana/grafana:12.1.4,medium,needs_fix,legacy appfile image tag differs from compose main image
HomeAssistant,Apps/HomeAssistant/docker-compose.yml,service_metadata_volume_gap,services.<main>.x-casaos.volumes,/config,"/config,/etc/localtime,/run/dbus",low,needs_review,some mounted target paths are not represented in service-level CasaOS volume metadata
Jackett,Apps/Jackett/appfile.json,appfile_registry_alias,container.image,lscr.io/linuxserver/jackett:0.24.1841,linuxserver/jackett:0.24.1841,low,reviewed_alias,registry differs but normalized repository and tag match
Jellyfin,Apps/Jellyfin/appfile.json,appfile_image_tag_mismatch,container.image,linuxserver/jellyfin:latest,linuxserver/jellyfin:10.10.7,medium,needs_fix,legacy appfile image tag differs from compose main image
Jellyfin_Nvidia,Apps/Jellyfin_Nvidia/docker-compose.yml,service_metadata_env_gap,services.<main>.x-casaos.envs,"TZ,PUID,PGID,JELLYFIN_PublishedServerUrl","PGID,PUID,TZ,CPU_FALLBACK,NVIDIA_VISIBLE_DEVICES",low,needs_review,some environment variables are not represented in service-level CasaOS env metadata
Jellyseerr,Apps/Jellyseerr/docker-compose.yml,asset_missing,screenshot_link,https://cdn.jsdelivr.net/gh/IceWhaleTech/CasaOS-AppStore@main/Apps/Jellyseerr/screenshot-1.jpg,Apps/Jellyseerr/screenshot-1.jpg,medium,needs_fix,CasaOS-AppStore CDN asset path does not exist locally
