app,compose_path,parse_status,main_service,main_image,image_tag,metadata_version,updateAt,blank_link_fields,status,error_count,warning_count,issue_categories
2FAuth,Apps/2FAuth/docker-compose.yml,ok,2fauth,2fauth/2fauth:5.4.3,5.4.3,5.4.3,2024-11-27,,ok,0,0,
ActualBudget,Apps/ActualBudget/docker-compose.yml,ok,actualbudget,actualbudget/actual-server:26.5.2,26.5.2,26.5.2,2026-05-08,,ok,0,0,
AdGuardHome,Apps/AdGuardHome/docker-compose.yml,ok,adguard-home,adguard/adguardhome:v0.107.61,v0.107.61,v0.107.61,2025-04-22,,ok,0,0,
Adminer,Apps/Adminer/docker-compose.yml,ok,adminer,adminer:5.4.1,5.4.1,5.4.1,2025-09-26,,ok,0,0,
AlbyHub,Apps/AlbyHub/docker-compose.yml,ok,albyhub,ghcr.io/getalby/hub:v1.20.0,v1.20.0,v1.20.0,2025-09-25,,ok,0,0,
Alist,Apps/Alist/docker-compose.yml,ok,alist,xhofe/alist:v3.40.0,v3.40.0,v3.40.0,2024-11-22,,ok,0,0,
Alist-Sync,Apps/Alist-Sync/docker-compose.yml,ok,alist-sync,xjxjin/alist-sync:1.1.5,1.1.5,1.1.5,2025-03-15,website,ok_with_blank_fields,0,0,
Anaconda3,Apps/Anaconda3/docker-compose.yml,ok,anaconda3,continuumio/anaconda3:2024.10-1,2024.10-1,2024.10-1,2024-10-31,,ok,0,0,
AnythingLLM,Apps/AnythingLLM/docker-compose.yml,ok,anythingllm,mintplexlabs/anythingllm,latest,latest,2024-08-19,,ok,0,0,
ArchiveBox,Apps/ArchiveBox/docker-compose.yml,ok,archivebox,archivebox/archivebox:0.7.3,0.7.3,0.7.3,2024-12-15,,ok,0,0,
Audiobookshelf,Apps/Audiobookshelf/docker-compose.yml,ok,audiobookshelf,ghcr.io/advplyr/audiobookshelf:2.30.0,2.30.0,2.30.0,2025-10-08,,ok,0,0,
Autobrr,Apps/Autobrr/docker-compose.yml,ok,autobrr,ghcr.io/autobrr/autobrr:v1.69.0,v1.69.0,v1.69.0,2025-11-10,,ok,0,0,
Bazarr,Apps/Bazarr/docker-compose.yml,ok,bazarr,linuxserver/bazarr:1.5.6,1.5.6,1.5.6,2026-02-26,,ok,0,0,
BeaverHabitTracker,Apps/BeaverHabitTracker/docker-compose.yml,ok,beaverhabittracker,daya0576/beaverhabits:0.7.3,0.7.3,0.7.3,2025-10-12,,ok,0,0,
Blinko,Apps/Blinko/docker-compose.yml,ok,blinko,blinkospace/blinko:1.8.7,1.8.7,1.8.7,2026-04-12,support,ok_with_blank_fields,0,0,
Calibre-web,Apps/Calibre-web/docker-compose.yml,ok,calibre-web,linuxserver/calibre-web:0.6.24,0.6.24,0.6.24,2024-11-16,website,ok_with_blank_fields,0,0,
ChatbotUI,Apps/ChatbotUI/docker-compose.yml,ok,chatbot-ui,ghcr.io/mckaywrigley/chatbot-ui:main,main,main,2023-07-26,,ok,0,0,
